S077A.CARD.  1. CARD ONE 
"S077A.Q92. WHILE YOU ARE IN THE HOSPITAL, WOULD YOU LIKE TO TAKE COURSES IN MUSIC - SUCH AS HARMONY, COMPOSITION, HISTORY OF MUSIC, ETC.*  1. YES 2. NO 3. UNDECIDED 0. NO ANSWER "
"S077A.Q93. WHILE YOU'RE IN THE HOSPITAL, IS THERE ANY MUSICAL INSTRUMENT YOU WOULD LIKE TO LEARN TO PLAY?  1. YES 2. NO 3. UNDECIDED 0. NO ANSWER "
S077A.Q94. THERE IS A WAY OF TEACHING FOREIGN LANGUAGES TO MEN WHO LISTEN TO THE LANGUAGE AS IT IS SPOKEN ON PHONOGRAPH RECORDS. WOULD YOU LIKE TO LEARN SOME FOREIGN LANGUAGE IN THIS WAY WHILE YOU ARE IN THE HOSPITAL?  1. YES 2. NO 3. UNDECIDED 0. NO ANSWER 
"S077A.Q95. SINCE YOU HAVE BEEN IN THIS HOSPITAL, HAVE THERE BEEN ANY DANCES FOR THE PATIENTS?  1. YES 2. NO 3. DON'T KNOW 0. NO ANSWER "
"S077A.Q96. ARE YOU NOW PHYSICALLY ABLE AND WELL ENOUGH TO DANCE?  1. YES, BUT I DON'T KNOW HOW 2. YES, AND I DO KNOW HOW 3. NO, I'M NOT WELL ENOUGH OR ABLE TO 4. DON'T KNOW WHETHER I'M WELL ENOUGH OR NOT 5. I AM NOT INTERESTED IN DANCING 0. NO ANSWER "
"S077A.Q97. DO YOU THINK THERE ARE TOO MANY DANCES FOR PATIENTS AT THIS HOSPITAL, NOT ENOUGH DANCES, OR ABOUT THE RIGHT NUMBER OF DANCES?  1. THERE ARE TOO MANY 2. ABOUT THE RIGHT NUMBER 3. NOT ENOUGH 4. DON'T KNOW 0. NO ANSWER "
"S077A.Q98. ARE THERE ANY KINDS OF SPORTS, RECREATION, OR ENTER- TAINMENT THAT YOU THINK THE HOSPITAL SHOULD ADD TO ITS PROGRAM OR HAVE MORE OF?  1. YES 2. NO 3. UNDECIDED 0. NO ANSWER "
"S077A.Q99. IS THERE A RED CROSS RECREATION WORKER IN THIS HOSPITAL? (THIS RECREATION WORKER IS NOT A NURSE BUT IS A WOMAN WHOSE JOB IS TO HELP THE PATIENTS HAVE A BETTER TIME IN THE HOSPITAL.)  1. YES, THERE IS A RED CROSS RECREATION WORKER HERE 2. NO, THERE IS NOT A RED CROSS RECREATION WORKER HERE 3. DON'T KNOW 0. NO ANSWER "
"S077A.Q100. IN GENERAL, HOW DO YOU LIKE THE ENLISTED MEN WHO WORK IN THIS HOSPITAL?  1. I LIKE THEM A LOT 2. THEY'RE ALL RIGHT 3. I DON'T LIKE THEM SO MUCH 4. UNDECIDED 0. NO ANSWER "
"S077A.Q101. IN GENERAL, HOW DO YOU LIKE THE PATIENTS IN THIS HOSPITAL?  1. I LIKE THEM A LOT 2. THEY'RE ALL RIGHT 3. I DON'T LIKE THEM SO MUCH 4. UNDECIDED 0. NO ANSWER "
"S077A.Q102. IN YOUR OPINION, DO ANY OF THE ENLISTED MEN WHO WORK IN THIS HOSPITAL ""GOLD-BRICK""*  1. ALMOST ALL OF THEM DO 2. A GOOD MANY OF THEM DO 3. A FEW OF THEM DO 4. HARDLY ANY OF THEM DO 5. UNDECIDED 0. NO ANSWER "
"S077A.Q103. IN YOUR OPINION, DO ANY OF THE PATIENTS IN THIS HOSPITAL ""GOLD-BRICK""*  1. ALMOST ALL OF THEM DO 2. A GOOD MANY OF THEM DO 3. A FEW OF THEM DO 4. HARDLY ANY OF THEM DO 5. UNDECIDED 0. NO ANSWER "
"S077A.Q104. IF IT WERE UP TO YOU TO CHOOSE AFTER YOU GET OUT OF THE HOSPITAL, DO YOU THINK YOU COULD DO MORE FOR YOUR COUNTRY AS A SOLDIER OR DO YOU THINK YOU COULD DO MORE AS A CIVILIAN DOING SOME KIND OF WORK NEEDED TO WIN THE WAR?  1. I COULD DO MORE AS A SOLDIER 2. I COULD DO MORE AS A CIVILIAN DOING SOME KIND OF WORK NEEDED TO WIN THE WAR 3. UNDECIDED 0. NO ANSWER X. QUESTIONS 105 AND 106 NOT CODED. "
"S077A.V107. TYPE OF WARD IDENTIFICATION FOR WALTER REED HOSPITAL:  1. FOREST GLEN - NEUROPSYCHIATRIC 2. FOREST GLEN - ORTHOPEDIC 3. FOREST GLEN - RECON. (REHABILITATION) MOSTLY REHABILITATION PATIENTS 4. FOREST GLEN - NEURO; THORACIC; OTHER SURGICAL, G.U. AND GENERAL SURGICAL, MEDICAL AND EARS, NOSE, THROAT AND D 5. GENERAL HOSPITAL - NEUROPSYCHIATRIC 6. GENERAL HOSPITAL - ORTHOPEDIC 7. GENERAL HOSPITAL - CONVALESCENT 8. GENERAL HOSPITAL - GENERAL MEDICAL, GENERAL SURGICAL, EARS, EYES, NOSE AND THROAT 9. GENERAL HOSPITAL - SKIN AND VENEREAL X. ORIGINAL SURVEY DOCUMENTATION SPECIFIES THAT THIS VARIABLE APPLIES TO WALTER REED HOSPITAL PATIENTS ONLY. IT IS NOT KNOWN WHAT THE CODES ARE FOR THE PATIENTS AT THE OTHER HOSPITALS. "
S077A.V108. HOSPITAL IDENTIFICATION:  1. WALTER REED HOSPITAL - PATIENTS 2. LAWSON GENERAL HOSPITAL - PATIENTS 3. MCCLOSKEY GENERAL HOSPITAL - PATIENTS 
S077A.V109. WARD IDENTIFICATION:  ANP X. CODES NOT PROVIDED BY SURVEY ORGANIZATION. DATA TRANSFERRED AS IS. 
S077A.V110. SERIAL NUMBER IDENTIFICATION:  ANP X. CODES NOT PROVIDED BY SURVEY ORGANIZATION. DATA TRANSFERRED AS IS. X. COLUMNS 55-59 ARE ORIGINAL SURVEY IDENTIFICATION NUMBER. 
